,Close
2018-12-07 21:59:00,8.4966
2018-12-07 21:58:00,8.4988
2018-12-07 21:57:00,8.4955
2018-12-07 21:56:00,8.4936
2018-12-07 21:55:00,8.4939
2018-12-07 21:54:00,8.4943
2018-12-07 21:53:00,8.4932
2018-12-07 21:52:00,8.4939
2018-12-07 21:51:00,8.4944
2018-12-07 21:50:00,8.4979
2018-12-07 21:49:00,8.4922
2018-12-07 21:48:00,8.4916
2018-12-07 21:47:00,8.4913
2018-12-07 21:46:00,8.4911
2018-12-07 21:45:00,8.4909
2018-12-07 21:44:00,8.4898
2018-12-07 21:43:00,8.4897
2018-12-07 21:42:00,8.49
2018-12-07 21:41:00,8.49
2018-12-07 21:40:00,8.4896
2018-12-07 21:39:00,8.4902
2018-12-07 21:38:00,8.4896
2018-12-07 21:37:00,8.4898
2018-12-07 21:36:00,8.4895
2018-12-07 21:35:00,8.4895
2018-12-07 21:34:00,8.4889
2018-12-07 21:33:00,8.4893
2018-12-07 21:32:00,8.489
2018-12-07 21:31:00,8.4893
2018-12-07 21:30:00,8.4889
2018-12-07 21:29:00,8.4887
2018-12-07 21:28:00,8.4887
2018-12-07 21:27:00,8.488
2018-12-07 21:26:00,8.4882
2018-12-07 21:25:00,8.4886
2018-12-07 21:24:00,8.4891
2018-12-07 21:23:00,8.4892
2018-12-07 21:22:00,8.4884
2018-12-07 21:21:00,8.4868
2018-12-07 21:20:00,8.4859
2018-12-07 21:19:00,8.4856
2018-12-07 21:18:00,8.485
2018-12-07 21:13:00,8.485
2018-12-07 21:11:00,8.485
2018-12-07 21:10:00,8.4837
2018-12-07 21:09:00,8.484
2018-12-07 21:08:00,8.4838
2018-12-07 21:07:00,8.4844
2018-12-07 21:06:00,8.4831
2018-12-07 21:05:00,8.4827
2018-12-07 21:04:00,8.4837
2018-12-07 21:03:00,8.4847
2018-12-07 21:02:00,8.4841
2018-12-07 21:01:00,8.4839
2018-12-07 21:00:00,8.4824
2018-12-07 20:59:00,8.4814
2018-12-07 20:58:00,8.4806
2018-12-07 20:57:00,8.4791
2018-12-07 20:56:00,8.4865
2018-12-07 20:55:00,8.4871
2018-12-07 20:54:00,8.4862
2018-12-07 20:53:00,8.487
2018-12-07 20:52:00,8.4853
