,Close
2018-12-07 21:59:00,128.289
2018-12-07 21:58:00,128.412
2018-12-07 21:57:00,128.421
2018-12-07 21:56:00,128.477
2018-12-07 21:55:00,128.506
2018-12-07 21:54:00,128.49
2018-12-07 21:53:00,128.457
2018-12-07 21:52:00,128.46
2018-12-07 21:51:00,128.463
2018-12-07 21:50:00,128.468
2018-12-07 21:49:00,128.487
2018-12-07 21:48:00,128.49
2018-12-07 21:47:00,128.496
2018-12-07 21:46:00,128.483
2018-12-07 21:45:00,128.491
2018-12-07 21:44:00,128.507
2018-12-07 21:43:00,128.522
2018-12-07 21:42:00,128.52
2018-12-07 21:41:00,128.518
2018-12-07 21:40:00,128.522
2018-12-07 21:39:00,128.522
2018-12-07 21:38:00,128.542
2018-12-07 21:37:00,128.543
2018-12-07 21:36:00,128.544
2018-12-07 21:35:00,128.55
2018-12-07 21:34:00,128.556
2018-12-07 21:33:00,128.545
2018-12-07 21:32:00,128.543
2018-12-07 21:31:00,128.537
2018-12-07 21:30:00,128.547
2018-12-07 21:29:00,128.542
2018-12-07 21:28:00,128.533
2018-12-07 21:27:00,128.536
2018-12-07 21:26:00,128.532
2018-12-07 21:25:00,128.526
2018-12-07 21:24:00,128.516
2018-12-07 21:23:00,128.515
2018-12-07 21:22:00,128.511
2018-12-07 21:21:00,128.511
2018-12-07 21:20:00,128.526
2018-12-07 21:19:00,128.533
2018-12-07 21:18:00,128.545
2018-12-07 21:17:00,128.55
2018-12-07 21:16:00,128.554
2018-12-07 21:15:00,128.559
2018-12-07 21:14:00,128.565
2018-12-07 21:13:00,128.58
2018-12-07 21:12:00,128.577
2018-12-07 21:11:00,128.574
2018-12-07 21:10:00,128.575
2018-12-07 21:09:00,128.569
2018-12-07 21:08:00,128.564
2018-12-07 21:07:00,128.562
2018-12-07 21:06:00,128.55
2018-12-07 21:05:00,128.56
2018-12-07 21:04:00,128.556
2018-12-07 21:03:00,128.505
2018-12-07 21:02:00,128.501
2018-12-07 21:01:00,128.491
2018-12-07 21:00:00,128.504
2018-12-07 20:59:00,128.522
2018-12-07 20:58:00,128.511
2018-12-07 20:57:00,128.507
2018-12-07 20:56:00,128.496
2018-12-07 20:55:00,128.498
2018-12-07 20:54:00,128.496
2018-12-07 20:53:00,128.498
2018-12-07 20:52:00,128.518
2018-12-07 20:51:00,128.536
2018-12-07 20:50:00,128.554
2018-12-07 20:49:00,128.537
2018-12-07 20:48:00,128.554
2018-12-07 20:47:00,128.552
2018-12-07 20:46:00,128.559
2018-12-07 20:45:00,128.567
2018-12-07 20:44:00,128.578
2018-12-07 20:43:00,128.599
2018-12-07 20:42:00,128.595
