,Close
2018-12-07 21:59:00,81.128
2018-12-07 21:58:00,81.136
2018-12-07 21:57:00,81.131
2018-12-07 21:56:00,81.128
2018-12-07 21:55:00,81.134
2018-12-07 21:54:00,81.145
2018-12-07 21:53:00,81.135
2018-12-07 21:52:00,81.14
2018-12-07 21:51:00,81.132
2018-12-07 21:50:00,81.131
2018-12-07 21:49:00,81.123
2018-12-07 21:48:00,81.119
2018-12-07 21:47:00,81.119
2018-12-07 21:46:00,81.109
2018-12-07 21:45:00,81.113
2018-12-07 21:44:00,81.117
2018-12-07 21:43:00,81.125
2018-12-07 21:42:00,81.124
2018-12-07 21:41:00,81.124
2018-12-07 21:40:00,81.123
2018-12-07 21:39:00,81.119
2018-12-07 21:38:00,81.134
2018-12-07 21:37:00,81.139
2018-12-07 21:36:00,81.135
2018-12-07 21:35:00,81.13
2018-12-07 21:34:00,81.141
2018-12-07 21:33:00,81.138
2018-12-07 21:32:00,81.14
2018-12-07 21:31:00,81.134
2018-12-07 21:30:00,81.145
2018-12-07 21:29:00,81.154
2018-12-07 21:28:00,81.156
2018-12-07 21:27:00,81.151
2018-12-07 21:26:00,81.145
2018-12-07 21:25:00,81.131
2018-12-07 21:24:00,81.132
2018-12-07 21:23:00,81.128
2018-12-07 21:22:00,81.126
2018-12-07 21:21:00,81.136
2018-12-07 21:20:00,81.141
2018-12-07 21:19:00,81.146
2018-12-07 21:18:00,81.148
2018-12-07 21:15:00,81.148
2018-12-07 21:14:00,81.151
2018-12-07 21:13:00,81.156
2018-12-07 21:12:00,81.149
2018-12-07 21:11:00,81.155
2018-12-07 21:10:00,81.155
2018-12-07 21:09:00,81.15
2018-12-07 21:08:00,81.135
2018-12-07 21:07:00,81.136
2018-12-07 21:06:00,81.17
2018-12-07 21:05:00,81.168
2018-12-07 21:04:00,81.184
2018-12-07 21:03:00,81.173
2018-12-07 21:02:00,81.169
2018-12-07 21:01:00,81.161
2018-12-07 21:00:00,81.156
2018-12-07 20:59:00,81.166
2018-12-07 20:58:00,81.165
2018-12-07 20:57:00,81.17
2018-12-07 20:56:00,81.171
2018-12-07 20:55:00,81.173
2018-12-07 20:54:00,81.178
2018-12-07 20:53:00,81.192
2018-12-07 20:52:00,81.19
2018-12-07 20:51:00,81.203
2018-12-07 20:50:00,81.2
2018-12-07 20:49:00,81.179
2018-12-07 20:48:00,81.193
2018-12-07 20:47:00,81.195
2018-12-07 20:46:00,81.201
2018-12-07 20:45:00,81.207
2018-12-07 20:44:00,81.224
2018-12-07 20:43:00,81.234
2018-12-07 20:42:00,81.224
2018-12-07 20:41:00,81.229
2018-12-07 20:40:00,81.246
2018-12-07 20:39:00,81.236
2018-12-07 20:38:00,81.243
2018-12-07 20:37:00,81.247
2018-12-07 20:36:00,81.255
2018-12-07 20:35:00,81.262
2018-12-07 20:34:00,81.237
2018-12-07 20:33:00,81.195
