,Close
2018-12-07 21:59:00,9.0404
2018-12-07 21:58:00,9.0305
2018-12-07 21:57:00,9.0268
2018-12-07 21:56:00,9.0272
2018-12-07 21:55:00,9.0324
2018-12-07 21:54:00,9.0337
2018-12-07 21:53:00,9.0298
2018-12-07 21:52:00,9.0338
2018-12-07 21:51:00,9.0329
2018-12-07 21:50:00,9.032
2018-12-07 21:49:00,9.0319
2018-12-07 21:48:00,9.0309
2018-12-07 21:47:00,9.0308
2018-12-07 21:46:00,9.0308
2018-12-07 21:45:00,9.0305
2018-12-07 21:44:00,9.0321
2018-12-07 21:43:00,9.0313
2018-12-07 21:42:00,9.0315
2018-12-07 21:41:00,9.032
2018-12-07 21:40:00,9.0318
2018-12-07 21:39:00,9.0322
2018-12-07 21:38:00,9.0306
2018-12-07 21:37:00,9.0305
2018-12-07 21:36:00,9.0313
2018-12-07 21:35:00,9.0312
2018-12-07 21:34:00,9.0309
2018-12-07 21:33:00,9.0312
2018-12-07 21:32:00,9.031
2018-12-07 21:31:00,9.0307
2018-12-07 21:30:00,9.0323
2018-12-07 21:29:00,9.0336
2018-12-07 21:28:00,9.0341
2018-12-07 21:27:00,9.0322
2018-12-07 21:26:00,9.0322
2018-12-07 21:25:00,9.0322
2018-12-07 21:24:00,9.0338
2018-12-07 21:23:00,9.0338
2018-12-07 21:22:00,9.0338
2018-12-07 21:21:00,9.034
2018-12-07 21:20:00,9.0332
2018-12-07 21:19:00,9.0328
2018-12-07 21:18:00,9.0322
2018-12-07 21:17:00,9.0318
2018-12-07 21:16:00,9.0318
2018-12-07 21:15:00,9.031
2018-12-07 21:14:00,9.0285
2018-12-07 21:13:00,9.0327
2018-12-07 21:12:00,9.0328
2018-12-07 21:11:00,9.0327
2018-12-07 21:10:00,9.0327
2018-12-07 21:08:00,9.0329
2018-12-07 21:07:00,9.0334
2018-12-07 21:06:00,9.033
2018-12-07 21:05:00,9.0314
2018-12-07 21:04:00,9.0349
2018-12-07 21:03:00,9.0371
2018-12-07 21:02:00,9.037
2018-12-07 21:01:00,9.0354
2018-12-07 21:00:00,9.0345
2018-12-07 20:59:00,9.0334
2018-12-07 20:58:00,9.0321
2018-12-07 20:57:00,9.0305
2018-12-07 20:56:00,9.0326
2018-12-07 20:55:00,9.0336
2018-12-07 20:54:00,9.0332
2018-12-07 20:53:00,9.0329
2018-12-07 20:52:00,9.0316
2018-12-07 20:51:00,9.0321
2018-12-07 20:50:00,9.03
2018-12-07 20:49:00,9.0298
2018-12-07 20:48:00,9.0288
2018-12-07 20:47:00,9.0285
2018-12-07 20:46:00,9.0296
2018-12-07 20:45:00,9.0301
2018-12-07 20:44:00,9.0315
2018-12-07 20:43:00,9.0288
2018-12-07 20:42:00,9.0269
2018-12-07 20:41:00,9.0252
2018-12-07 20:40:00,9.0272
2018-12-07 20:39:00,9.0262
2018-12-07 20:38:00,9.0253
2018-12-07 20:37:00,9.0249
2018-12-07 20:36:00,9.0267
2018-12-07 20:35:00,9.0238
2018-12-07 20:34:00,9.0261
2018-12-07 20:33:00,9.0262
2018-12-07 20:32:00,9.0248
2018-12-07 20:31:00,9.0269
2018-12-07 20:30:00,9.028
2018-12-07 20:29:00,9.0267
2018-12-07 20:28:00,9.0256
2018-12-07 20:27:00,9.0255
2018-12-07 20:26:00,9.0278
2018-12-07 20:25:00,9.0242
2018-12-07 20:24:00,9.0239
2018-12-07 20:23:00,9.0235
2018-12-07 20:22:00,9.0233
2018-12-07 20:21:00,9.0242
2018-12-07 20:20:00,9.0259
2018-12-07 20:19:00,9.0245
2018-12-07 20:18:00,9.0242
2018-12-07 20:17:00,9.024
2018-12-07 20:16:00,9.0242
2018-12-07 20:15:00,9.026
2018-12-07 20:14:00,9.0269
2018-12-07 20:13:00,9.026
2018-12-07 20:12:00,9.0246
2018-12-07 20:11:00,9.0245
2018-12-07 20:10:00,9.0245
2018-12-07 20:09:00,9.0249
2018-12-07 20:08:00,9.0247
2018-12-07 20:07:00,9.0252
2018-12-07 20:06:00,9.0244
2018-12-07 20:05:00,9.0237
2018-12-07 20:04:00,9.0236
2018-12-07 20:03:00,9.0235
2018-12-07 20:02:00,9.022
2018-12-07 20:01:00,9.0214
2018-12-07 20:00:00,9.0199
2018-12-07 19:59:00,9.0177
2018-12-07 19:58:00,9.0174
2018-12-07 19:57:00,9.0182
2018-12-07 19:56:00,9.019
2018-12-07 19:55:00,9.0188
2018-12-07 19:54:00,9.0192
2018-12-07 19:53:00,9.0194
2018-12-07 19:52:00,9.0195
2018-12-07 19:51:00,9.0189
2018-12-07 19:50:00,9.0184
2018-12-07 19:49:00,9.019
2018-12-07 19:48:00,9.019
2018-12-07 19:47:00,9.0187
2018-12-07 19:46:00,9.0213
2018-12-07 19:45:00,9.018
2018-12-07 19:44:00,9.0182
2018-12-07 19:43:00,9.0203
2018-12-07 19:42:00,9.0165
2018-12-07 19:41:00,9.0165
2018-12-07 19:40:00,9.0138
2018-12-07 19:39:00,9.0151
2018-12-07 19:38:00,9.0152
2018-12-07 19:37:00,9.0136
2018-12-07 19:36:00,9.017
2018-12-07 19:35:00,9.0174
2018-12-07 19:34:00,9.0153
2018-12-07 19:33:00,9.019
2018-12-07 19:32:00,9.0192
2018-12-07 19:31:00,9.0173
2018-12-07 19:30:00,9.0174
2018-12-07 19:29:00,9.0158
2018-12-07 19:28:00,9.0178
2018-12-07 19:27:00,9.0184
2018-12-07 19:26:00,9.0169
2018-12-07 19:25:00,9.0183
2018-12-07 19:24:00,9.0175
2018-12-07 19:23:00,9.0174
2018-12-07 19:22:00,9.0174
2018-12-07 19:21:00,9.0192
2018-12-07 19:20:00,9.0175
2018-12-07 19:19:00,9.0199
2018-12-07 19:18:00,9.02
2018-12-07 19:17:00,9.0194
2018-12-07 19:16:00,9.0191
2018-12-07 19:15:00,9.0175
2018-12-07 19:14:00,9.0151
2018-12-07 19:13:00,9.0187
2018-12-07 19:12:00,9.0207
2018-12-07 19:11:00,9.0214
2018-12-07 19:10:00,9.0216
2018-12-07 19:09:00,9.0229
2018-12-07 19:08:00,9.0229
2018-12-07 19:07:00,9.0231
2018-12-07 19:06:00,9.0247
2018-12-07 19:03:00,9.0243
2018-12-07 19:02:00,9.0251
2018-12-07 19:01:00,9.0237
2018-12-07 19:00:00,9.0235
2018-12-07 18:59:00,9.022
2018-12-07 18:58:00,9.018
2018-12-07 18:57:00,9.0193
2018-12-07 18:56:00,9.0197
2018-12-07 18:55:00,9.0191
2018-12-07 18:54:00,9.0191
2018-12-07 18:53:00,9.0189
2018-12-07 18:52:00,9.0178
2018-12-07 18:51:00,9.0202
2018-12-07 18:50:00,9.0215
2018-12-07 18:49:00,9.0233
2018-12-07 18:48:00,9.0228
2018-12-07 18:47:00,9.0223
2018-12-07 18:46:00,9.0229
2018-12-07 18:45:00,9.0243
2018-12-07 18:44:00,9.0234
2018-12-07 18:43:00,9.0229
2018-12-07 18:42:00,9.0273
2018-12-07 18:41:00,9.0254
2018-12-07 18:40:00,9.0245
2018-12-07 18:39:00,9.0248
2018-12-07 18:38:00,9.0246
2018-12-07 18:37:00,9.026
2018-12-07 18:36:00,9.0256
2018-12-07 18:35:00,9.0241
2018-12-07 18:34:00,9.022
2018-12-07 18:33:00,9.0227
2018-12-07 18:32:00,9.023
2018-12-07 18:31:00,9.0217
2018-12-07 18:30:00,9.0238
2018-12-07 18:29:00,9.0255
2018-12-07 18:28:00,9.0251
2018-12-07 18:27:00,9.0222
2018-12-07 18:26:00,9.0263
2018-12-07 18:25:00,9.0265
2018-12-07 18:24:00,9.0271
2018-12-07 18:23:00,9.0278
2018-12-07 18:22:00,9.0275
2018-12-07 18:21:00,9.0287
2018-12-07 18:20:00,9.0298
2018-12-07 18:19:00,9.0298
2018-12-07 18:18:00,9.0284
2018-12-07 18:17:00,9.0267
2018-12-07 18:16:00,9.0302
2018-12-07 18:15:00,9.0314
2018-12-07 18:13:00,9.0331
2018-12-07 18:12:00,9.0338
2018-12-07 18:11:00,9.0341
2018-12-07 18:10:00,9.0326
2018-12-07 18:09:00,9.0298
2018-12-07 18:08:00,9.0318
2018-12-07 18:07:00,9.0328
2018-12-07 18:06:00,9.0347
2018-12-07 18:05:00,9.0324
2018-12-07 18:04:00,9.0281
2018-12-07 18:03:00,9.027
2018-12-07 18:02:00,9.0296
2018-12-07 18:01:00,9.0306
2018-12-07 18:00:00,9.0318
2018-12-07 17:59:00,9.0346
2018-12-07 17:58:00,9.0333
2018-12-07 17:57:00,9.0329
2018-12-07 17:56:00,9.033
2018-12-07 17:55:00,9.0332
2018-12-07 17:54:00,9.0343
2018-12-07 17:52:00,9.0351
2018-12-07 17:51:00,9.0361
2018-12-07 17:50:00,9.0372
2018-12-07 17:49:00,9.0375
2018-12-07 17:48:00,9.0382
2018-12-07 17:47:00,9.0372
2018-12-07 17:46:00,9.0404
2018-12-07 17:45:00,9.039
2018-12-07 17:44:00,9.0415
2018-12-07 17:43:00,9.042
2018-12-07 17:42:00,9.0435
2018-12-07 17:41:00,9.0425
2018-12-07 17:40:00,9.0429
2018-12-07 17:39:00,9.043
2018-12-07 17:38:00,9.0438
2018-12-07 17:37:00,9.0441
2018-12-07 17:36:00,9.0448
2018-12-07 17:35:00,9.045
2018-12-07 17:34:00,9.0456
2018-12-07 17:33:00,9.047
2018-12-07 17:32:00,9.0449
2018-12-07 17:31:00,9.0463
2018-12-07 17:30:00,9.0469
2018-12-07 17:29:00,9.0453
2018-12-07 17:28:00,9.0456
2018-12-07 17:27:00,9.0452
2018-12-07 17:26:00,9.0451
2018-12-07 17:25:00,9.0425
2018-12-07 17:24:00,9.043
2018-12-07 17:23:00,9.0435
2018-12-07 17:22:00,9.0423
2018-12-07 17:21:00,9.0432
2018-12-07 17:20:00,9.0461
2018-12-07 17:19:00,9.0458
2018-12-07 17:18:00,9.0459
2018-12-07 17:17:00,9.0449
2018-12-07 17:16:00,9.0448
2018-12-07 17:15:00,9.0458
2018-12-07 17:14:00,9.0428
2018-12-07 17:13:00,9.0414
2018-12-07 17:12:00,9.0391
2018-12-07 17:11:00,9.0341
2018-12-07 17:10:00,9.0346
2018-12-07 17:09:00,9.0352
2018-12-07 17:08:00,9.0333
2018-12-07 17:07:00,9.0338
2018-12-07 17:06:00,9.0349
2018-12-07 17:05:00,9.0324
2018-12-07 17:04:00,9.0322
2018-12-07 17:03:00,9.0319
2018-12-07 17:02:00,9.0339
2018-12-07 17:01:00,9.0335
2018-12-07 17:00:00,9.0345
2018-12-07 16:59:00,9.0331
2018-12-07 16:58:00,9.0308
2018-12-07 16:57:00,9.033
2018-12-07 16:56:00,9.0336
2018-12-07 16:55:00,9.0344
2018-12-07 16:54:00,9.034
2018-12-07 16:53:00,9.0313
2018-12-07 16:52:00,9.0298
2018-12-07 16:51:00,9.0268
2018-12-07 16:50:00,9.0272
2018-12-07 16:49:00,9.0277
2018-12-07 16:48:00,9.0283
2018-12-07 16:47:00,9.0294
2018-12-07 16:46:00,9.0267
2018-12-07 16:45:00,9.0254
2018-12-07 16:44:00,9.0241
2018-12-07 16:43:00,9.0243
2018-12-07 16:42:00,9.023
2018-12-07 16:41:00,9.0229
2018-12-07 16:40:00,9.0235
2018-12-07 16:39:00,9.0226
2018-12-07 16:38:00,9.0233
2018-12-07 16:37:00,9.0212
2018-12-07 16:36:00,9.0233
2018-12-07 16:35:00,9.0218
2018-12-07 16:34:00,9.0247
2018-12-07 16:33:00,9.0235
2018-12-07 16:32:00,9.0242
2018-12-07 16:31:00,9.0248
2018-12-07 16:30:00,9.0195
2018-12-07 16:29:00,9.0229
2018-12-07 16:28:00,9.0244
2018-12-07 16:27:00,9.0253
2018-12-07 16:26:00,9.0237
2018-12-07 16:25:00,9.027
2018-12-07 16:24:00,9.0271
2018-12-07 16:23:00,9.0273
2018-12-07 16:22:00,9.0282
2018-12-07 16:21:00,9.0263
2018-12-07 16:20:00,9.0294
2018-12-07 16:19:00,9.0277
2018-12-07 16:18:00,9.0285
2018-12-07 16:17:00,9.029
2018-12-07 16:16:00,9.0267
2018-12-07 16:15:00,9.0244
2018-12-07 16:14:00,9.0277
2018-12-07 16:13:00,9.0278
2018-12-07 16:12:00,9.0284
2018-12-07 16:11:00,9.0293
2018-12-07 16:10:00,9.0272
2018-12-07 16:09:00,9.0264
2018-12-07 16:08:00,9.0269
2018-12-07 16:07:00,9.0256
2018-12-07 16:06:00,9.0268
2018-12-07 16:05:00,9.0226
2018-12-07 16:04:00,9.0247
2018-12-07 16:03:00,9.0241
2018-12-07 16:02:00,9.0238
2018-12-07 16:01:00,9.0231
2018-12-07 16:00:00,9.0178
2018-12-07 15:59:00,9.0184
2018-12-07 15:58:00,9.0216
2018-12-07 15:57:00,9.0215
2018-12-07 15:56:00,9.0231
2018-12-07 15:55:00,9.0223
2018-12-07 15:54:00,9.0281
2018-12-07 15:53:00,9.0267
2018-12-07 15:52:00,9.0266
2018-12-07 15:51:00,9.0257
2018-12-07 15:50:00,9.0278
2018-12-07 15:49:00,9.0248
2018-12-07 15:48:00,9.0222
2018-12-07 15:47:00,9.0208
2018-12-07 15:46:00,9.0223
2018-12-07 15:45:00,9.0214
2018-12-07 15:44:00,9.0224
2018-12-07 15:43:00,9.0201
2018-12-07 15:42:00,9.0196
2018-12-07 15:41:00,9.0216
2018-12-07 15:40:00,9.0238
2018-12-07 15:39:00,9.0247
2018-12-07 15:38:00,9.0264
2018-12-07 15:37:00,9.0258
2018-12-07 15:36:00,9.025
2018-12-07 15:35:00,9.021
2018-12-07 15:34:00,9.022
2018-12-07 15:33:00,9.022
2018-12-07 15:32:00,9.0246
2018-12-07 15:31:00,9.0266
2018-12-07 15:30:00,9.0233
2018-12-07 15:29:00,9.0204
2018-12-07 15:28:00,9.0194
2018-12-07 15:27:00,9.0216
2018-12-07 15:26:00,9.0258
2018-12-07 15:25:00,9.0268
2018-12-07 15:24:00,9.0234
2018-12-07 15:23:00,9.024
2018-12-07 15:22:00,9.0211
2018-12-07 15:21:00,9.0226
2018-12-07 15:20:00,9.024
2018-12-07 15:19:00,9.0224
2018-12-07 15:18:00,9.0232
2018-12-07 15:17:00,9.0215
2018-12-07 15:16:00,9.0196
2018-12-07 15:15:00,9.0182
2018-12-07 15:14:00,9.0186
2018-12-07 15:13:00,9.017
2018-12-07 15:12:00,9.0168
2018-12-07 15:11:00,9.0159
2018-12-07 15:10:00,9.0185
2018-12-07 15:09:00,9.0204
2018-12-07 15:08:00,9.0145
2018-12-07 15:07:00,9.0149
2018-12-07 15:06:00,9.015
2018-12-07 15:05:00,9.0143
2018-12-07 15:04:00,9.0153
2018-12-07 15:03:00,9.0149
2018-12-07 15:02:00,9.0138
2018-12-07 15:01:00,9.0136
2018-12-07 15:00:00,9.0146
2018-12-07 14:59:00,9.014
2018-12-07 14:58:00,9.0147
2018-12-07 14:57:00,9.0136
2018-12-07 14:56:00,9.0114
2018-12-07 14:55:00,9.0037
2018-12-07 14:54:00,9.0026
